name,Trackers,name (from Trackers),Tracking companies,name (from Tracking companies),num_companies,num_trackers,num_apps_trackers
США,"12,27,49,412,25,48,105,238,243,167,312,392,66,67,70,328,350,125,219,34,35,53,65,72,83,90,92,104,121,169,183,189,320,433,61,162,204,368,370,221,39,137,253,193,163,249,60,26,130,69,171,207,246,118,195,305,58,422,62,17,341,194,28,174,178,127,240,241,369,77","AppsFlyer, Google CrashLytics, Google Firebase Analytics, OpenTelemetry (OpenCensus, OpenTracing), Flurry, Google Analytics, Google Tag Manager, Microsoft Visual Studio App Center Crashes, Microsoft Visual Studio App Center Analytics, Branch, Google AdMob, Facebook Flipper, Facebook Analytics, Facebook Login, Facebook Share, IAB Open Measurement, Exponea, Amplitude, AltBeacon, Ogury Presage, Twitter MoPub, ChartBoost, Facebook Ads, AppLovin (MAX and SparkLabs), Smaato, AdColony, Amazon Advertisement, Fyber, Unity3d Ads, Vungle, PubNative, HyprMX, Verizon Ads, Snap Ad Kit, Moat, Appodeal, Instreamatic (Adman), Appodeal Stack, BidMachine, Mozilla Telemetry, Pushwoosh, Dynatrace, UXCam, OneSignal, AppMonet, Tenjin, Locuslabs, HockeyApp, New Relic, Facebook Places, Mapbox, Bugsnag, Metrics, MixPanel, Startapp, Pollfish, HelpShift, Solar2D (Corona), Segment, Braze (formerly Appboy), Carto (formerly Nutiteq), Appdynamics, LeanPlum, CleverTap, Brightcove, Kochava, Google Analytics Plugin (Cordova), Bugsee, AppsGeyser, HyperTrack","Digital Turbine,Radius Networks,Amazon,Amplitude,AppDynamics,Applovin Corporation,AppMonet,Appodeal,Appodeal Stack,AppsFlyer,AppsGeyser,Branch,Braze,Brightcove,Bugsee,Bugsnag,Carto,Chartboost,CleverTap,Dynatrace,Bloomreach,Meta,Flipper,Oath Inc,Google,Helpshift,Microsoft,HyperTrack,HyprMX,IAB Tech Lab,Instreamatic,Kochava,LocusLabs,Mapbox,Dropwizard,Mixpanel,Oracle,Mozilla,Newrelic,Presage,One Signal,CNCF,Pollfish,Verve Group Europe,Pushwoosh,Segment,Smaato,Snapchat,Solar2D,Start.io,Tenjin,AppLovin,Unity Technologies,UXCam,Yahoo,Vungle","Digital Turbine, Radius Networks, Amazon, Amplitude, AppDynamics, Applovin Corporation, AppMonet, Appodeal, Appodeal Stack, AppsFlyer, AppsGeyser, Branch, Braze, Brightcove, Bugsee, Bugsnag, Carto, Chartboost, CleverTap, Dynatrace, Bloomreach, Meta, Flipper, Oath Inc, Google, Helpshift, Microsoft, HyperTrack, HyprMX, IAB Tech Lab, Instreamatic, Kochava, LocusLabs, Mapbox, Dropwizard, Mixpanel, Oracle, Mozilla, Newrelic, Presage, One Signal, CNCF, Pollfish, Verve Group Europe, Pushwoosh, Segment, Smaato, Snapchat, Solar2D, Start.io, Tenjin, AppLovin, Unity Technologies, UXCam, Yahoo, Vungle",57,70,3397
Россия,"140,124,175,382,198,405,336","AppMetrica, Yandex Ad, myTracker, VKontakte SDK, myTarget, Cifrasoft, Mail.ru","Yandex,Cifrasoft,VK","Yandex, Cifrasoft, VK",3,6,846
Китай,"333,200,190,116,361,119,120","Huawei Mobile Services (HMS) Core, Mintegral, Bugly, Tencent Stats, AutoNavi / Amap, Umeng Analytics, Umeng Feedback","AutoNavi Software,Tencent,Huawei,Mintegral,Umeng","AutoNavi Software, Tencent, Huawei, Mintegral, Umeng",5,7,155
?,"377,403","RjFun, Bolts",?,?,1,3,119
Израиль,"146,184","ironSource, Appnext","Appnext,ironSource","Appnext, ironSource",2,2,66
Канада,363,Pangle,Pangle,Pangle,1,1,47
Великобритания,"108,122,205,223","Snowplow, Countly, GameAnalytics, Pusher","Countly,GameAnalytics,Pusher,Snowplow","Countly, GameAnalytics, Pusher, Snowplow",4,4,39
Япония,"199,322,222","Tapjoy, maio by i-mobile, nend","iMobile,Nend,Tapjoy","iMobile, Nend, Tapjoy",3,3,33
Франция,"170,31","Criteo, ATInternet","At Internet,Criteo","At Internet, Criteo",2,2,28
Индия,106,Inmobi,InMobi,InMobi,1,1,27
Германия,"52,26,233","Adjust, HockeyApp, Bugfender","Adjust,Bufender","Adjust, Bufender",2,2,26
Чехия,291,SmartLook,Smartolook,Smartolook,1,1,3
Норвегия,30,Schibsted,Schibsted,Schibsted,1,1,2
Турция,409,Insider,Insider,Insider,1,1,1
Австрия,264,Emarsys Predict,Emarsys,Emarsys,1,1,1
Швейцария,84,Scandit,Scandit,Scandit,1,1,1
,,,,,,,